"id_componente";"tipo_componente";"codigo";"nivel";"nome";"unidade_responsavel";"ch_teorico";"ch_pratico";"ch_estagio";"ch_total";"ch_dedicada_docente";"ch_ead";"cr_max_ead";"permite_horario_flexivel";"qtd_unidades";"procedimentos_avaliacao";"equivalencia";"pre_requisito";"co_requisito";"ementa";"bibliografia";"objetivos";"conteudo";"competencias_habilidades";"referencias";"ano_programa";"periodo_programa";"modalidade";"curso_componente"
"22124";"DISCIPLINA";"ECO1002";"G";"ECONOMIA ( MICRO E MACRO)";"DEPARTAMENTO DE ECONOMIA - DEPEC";"0";"0";"0";"90";"90";"90";"20";"false";"1";"";"";"";"";"          Desenvolve aspectos da Microeconomia. Escopo e método da análise microeconômica. O mecanismo de tomada de decisões. A teoria do consumidor e a determinação da demanda individual, e de mercado. Medidas de sensibilidade da demanda: as elasticidades. A teoria da produção e a demanda por fatores. Custos de produção: teoria tradicional e moderna. Preço e produção sob concorrência pura. Preços e Produção no monopólio puro. Monopólio X competição perfeita. Controle do monopólio. Monopólio bilateral. Preço e Produção em concorrência monopolista. Modelos Clássicos de Oligopólio. Cartéis e Fusão: a solução de coalizão. A moderna teoria dos oligopólios.
Aspectos macroeconômicos: O sistema da contabilidade social: as contas nacionais; a teoria da determinação da renda e do produto nacional; os agregados macroeconômicos; a teoria monetária: moeda, intermediários financeiros, política monetária; o modelo IS-LM: a curva IS - o equilíbrio no mercado de bens e a curva LM  o equilíbrio no mercado monetário; o equilíbrio simultâneo no mercado de bens e de ativos; os efeitos da política econômica no modelo IS-LM; o modelo de demanda e oferta agregada; Economia aberta: regimes cambiais, determinação da renda e impactos da política econômica.
";"";"Desenvolve aspectos da Microeconomia. Escopo e método da análise microeconômica. O mecanismo de tomada de decisões. A teoria do consumidor e a determinação da demanda individual, e de mercado. Medidas de sensibilidade da demanda: as elasticidades. A teoria da produção e a demanda por fatores. Custos de produção: teoria tradicional e moderna. Preço e produção sob concorrência pura. Preços e Produção no monopólio puro. Monopólio X competição perfeita. Controle do monopólio. Monopólio bilateral. Preço e Produção em concorrência monopolista. Modelos Clássicos de Oligopólio. Cartéis e Fusão: a solução de coalizão. A moderna teoria dos oligopólios.";"Desenvolve aspectos da Microeconomia. Escopo e método da análise microeconômica. O mecanismo de tomada de decisões. A teoria do consumidor e a determinação da demanda individual, e de mercado. Medidas de sensibilidade da demanda: as elasticidades. A teoria da produção e a demanda por fatores. Custos de produção: teoria tradicional e moderna. Preço e produção sob concorrência pura. Preços e Produção no monopólio puro. Monopólio X competição perfeita. Controle do monopólio. Monopólio bilateral. Preço e Produção em concorrência monopolista. Modelos Clássicos de Oligopólio. Cartéis e Fusão: a solução de coalizão. A moderna teoria dos oligopólios.";"";"";"2023";"2";"A Distância";""
"24567";"DISCIPLINA";"ADM1009";"G";"MATEMATICA FINANCEIRA";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"0";"0";"0";"60";"60";"60";"20";"false";"1";"";"( ADM0422 ) ";"";"";"          Capitalizações simples e composta. Descontos simples e compostos. Rendas certas. Rendas variáveis. Taxa interna de retorno. Equivalência de fluxos de caixa. Amortização de empréstimos. Noções de análise de investimento. Correção monetária.";"";"Capitalizações simples e composta. Descontos simples e compostos. Rendas certas. Rendas variáveis. Taxa interna de retorno. Equivalência de fluxos de caixa. Amortização de empréstimos. Noções de análise de investimento. Correção monetária.";"Capitalizações simples e composta. Descontos simples e compostos. Rendas certas. Rendas variáveis. Taxa interna de retorno. Equivalência de fluxos de caixa. Amortização de empréstimos. Noções de análise de investimento. Correção monetária.";"";"";"2022";"2";"A Distância";""
"24569";"DISCIPLINA";"ADM1028";"G";"METODOLOGIA DA PESQUISA";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"0";"0";"0";"60";"60";"60";"20";"false";"1";"";"( ADM0500 ) ";"";"";"Abordar as técnicas e métodos de desenvolvimento de pesquisa seja quantitativa (tipo survey) quanto qualitativa (estudo de caso). Instrumentos de coleta de dados. Procedimentos de análise dos dados. Estrutura de um trabalho de conclusão de curso (TCC).";"";"Abordar as técnicas e métodos de desenvolvimento de pesquisa seja quantitativa (tipo survey) quanto qualitativa (estudo de caso). Instrumentos de coleta de dados. Procedimentos de análise dos dados. Estrutura de um trabalho de conclusão de curso (TCC).";"Abordar as técnicas e métodos de desenvolvimento de pesquisa seja quantitativa (tipo survey) quanto qualitativa (estudo de caso). Instrumentos de coleta de dados. Procedimentos de análise dos dados. Estrutura de um trabalho de conclusão de curso (TCC).";"";"";"2023";"1";"A Distância";""
"24574";"DISCIPLINA";"ADM1027";"G";"INFORMATICA BASICA";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"0";"0";"0";"60";"60";"60";"20";"false";"3";"";"";"";"";"Estrutura de computadores. Linguagens de programação. Aplicativos: processadores de textos, bancos de dados e planilha eletrônica, apresentação de slides. Internet e páginas web. Correio Eletrônico: uso corporativo, atividades em grupo.";"";"Estrutura de computadores. Linguagens de programação. Aplicativos: processadores de textos, bancos de dados e planilha eletrônica, apresentação de slides. Internet e páginas web. Correio Eletrônico: uso corporativo, atividades em grupo.";"Estrutura de computadores. Linguagens de programação. Aplicativos: processadores de textos, bancos de dados e planilha eletrônica, apresentação de slides. Internet e páginas web. Correio Eletrônico: uso corporativo, atividades em grupo.";"";"";"2022";"2";"A Distância";""
"25332";"DISCIPLINA";"ECO1001";"G";"ECONOMIA ( INTRODUCAO )";"DEPARTAMENTO DE ECONOMIA - DEPEC";"0";"0";"0";"60";"0";"60";"20";"false";"1";"";"( ECO0312 ) ";"";"";"Conceitos fundamentais de economia. Valor. Mensuração da atividade econômica. Repartição da renda. Introdução a teoria monetária. Noções de Comércio Internacional. Funções do setor público. Evolução do Pensamento Econômico.";"";"Conceitos fundamentais de economia. Valor. Mensuração da atividade econômica. Repartição da renda. Introdução a teoria monetária. Noções de Comércio Internacional. Funções do setor público. Evolução do Pensamento Econômico.
";"Conceitos fundamentais de economia. Valor. Mensuração da atividade econômica. Repartição da renda. Introdução a teoria monetária. Noções de Comércio Internacional. Funções do setor público. Evolução do Pensamento Econômico.
";"";"";"2022";"2";"A Distância";""
"25527";"DISCIPLINA";"EST1001";"G";"ESTATISTICA APLICADA A ADMINISTRACAO";"DEPARTAMENTO DE ESTATISTICA";"0";"0";"0";"60";"60";"60";"20";"false";"1";"";"";"";"";"Probabilidade: Conceito, axiomas e teoremas fundamentais. Variáveis aleatórias. Distribuições de probabilidade. Estatística descritiva. Distribuições teóricas e empíricas. Distribuições unidimensionais e bidimensionais. Introdução à Teoria da Amostragem, principais esquemas. Inferência Estatística: Processos de decisão, Teoria da Estimação, Testes de Hipóteses e Análise de Variância.";"";"APRESENTAR CONCEITOS BÁSICOS DE ESTATÍSTICA PARA QUE O ALUNO POSSA APLICAR EM SUA ÁREA DE CONHECIMENTO";"1 - Fases do Método Estatístico; Conceitos importantes: População e amostra. tipos de variáveis. Amostragem Probabilística e Não-probabilística; Distribuições de Frequências e apresentação tabular e gráfica.

2 - Medidas de Posição  Conceitos e aplicações das medidas Média Aritmética, Moda (Mo), Mediana (Md) e Separatrizes; Medidas de Dispersão  Conceitos e aplicações de Amplitude total, Variância, Desvio Padrão e Coeficiente de Variação;

3 - Probabilidade: Conceitos e definições de Experimento Aleatório; Espaço Amostral, Evento, Probabilidade Condicional e Regra do Produto; Distribuições de Probabilidade Discretas e Contínuas: Distribuição Binomial e Distribuição Normal.

4 - Distribuições de Probabilidade Discretas e Contínuas: Distribuições Amostrais; Noções de Estimação (estimaçao por intervalos); Testes de hipóteses: Introdução; Estrutura dos Testes de Hipóteses; Teste de Hipóteses para Média e Proporção e Teste de Hipóteses para a Diferença entre Médias.";"";"";"2022";"1";"A Distância";""
"26051";"DISCIPLINA";"ADM1021";"G";"FINANCAS PUBLICAS";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"0";"0";"0";"60";"0";"60";"20";"false";"1";"";"";"";"";"As atribuições econômicas e as atividades financeiras do Estado. Fenômenos financeiros. A renda nacional: formação e gasto. Controle estatal. Wagner e a lei dos dispêndios crescentes. Os serviços públicos. Crédito e dívida pública externa e interna. O sistema financeiro Nacional. Déficit público e mecanismos de controle. Orçamento Público: instrumentos de planejamento, princípios, ciclo orçamentário, processo orçamentário, mecanismos de alteração. Receita Pública. Despesa Pública. Crédito Público.";"";".";".";"";"";"2021";"1";"A Distância";""
"26054";"DISCIPLINA";"ADM1025";"G";"ELABORACAO E ADMINISTRACAO DE PROJETOS";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"0";"0";"0";"60";"60";"60";"20";"false";"1";"";"";"";"";"Planejamento, programa e controle de projetos e produtos especiais, produzidos sob encomenda. Organização geral. Técnicas de Gantt, CPM, PERT/TEMPO e PERT/CUSTO. Uso de software para gerenciamento de projetos.";"";"Planejamento, programa e controle de projetos e produtos especiais, produzidos sob encomenda. Organização geral. Técnicas de Gantt, CPM, PERT/TEMPO e PERT/CUSTO. Uso de software para gerenciamento de projetos.
";"Planejamento, programa e controle de projetos e produtos especiais, produzidos sob encomenda. Organização geral. Técnicas de Gantt, CPM, PERT/TEMPO e PERT/CUSTO. Uso de software para gerenciamento de projetos.
";"";"";"2022";"2";"A Distância";""
"26057";"DISCIPLINA";"ADM1030";"G";"CIENCIA POLITICA";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"0";"0";"0";"60";"0";"60";"20";"false";"1";"";"";"";"";"          Planejamento e tomada de decisões. Decisões políticas, estratégicas, táticas e operacionais. Análise política: estudo das categorias, conceitos e problemas básicos da ciência política, tais como: dominação, poder, conflito, autoridade e legitimidade. Política, participação e informação. Sistema político clássico e contemporâneo e sua influência em políticas empresariais.";"";"Planejamento e tomada de decisões. Decisões políticas, estratégicas, táticas e operacionais. Análise política: estudo das categorias, conceitos e problemas básicos da ciência política, tais como: dominação, poder, conflito, autoridade e legitimidade. Política, participação e informação. Sistema político clássico e contemporâneo e sua influência em políticas empresariais.";"Planejamento e tomada de decisões. Decisões políticas, estratégicas, táticas e operacionais. Análise política: estudo das categorias, conceitos e problemas básicos da ciência política, tais como: dominação, poder, conflito, autoridade e legitimidade. Política, participação e informação. Sistema político clássico e contemporâneo e sua influência em políticas empresariais.";"";"";"2023";"1";"A Distância";""
"27100";"DISCIPLINA";"EDB0001";"G";"BIODIVERSIDADE";"DEPARTAMENTO DE BIOLOGIA";"0";"0";"0";"60";"0";"60";"20";"false";"2";"";"( BEZ0081 ) ";"";"";"         6";"";"";"";"";"";"";"";"A Distância";""
